MPS Bond Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,1.961164715460401e-07,-2.52242671194931e-13,-2.1938006966600313e-13,-2.526867604047814e-13,-2.4424906541762395e-13,-2.526867604047814e-13,-2.4780177909642703e-13,-2.4202861936837197e-13,-2.1982415887585347e-13,-2.4602542225702547e-13,-2.446931546274743e-13,-2.335909243812148e-13,-2.531308496146318e-13,-2.406963517388209e-13
2,3.775253357004543e-07,1.961164422361695e-07,-2.1938006966600313e-13,-2.526867604047814e-13,-2.4424906541762395e-13,-2.526867604047814e-13,-2.4780177909642703e-13,-2.4202861936837197e-13,-2.1982415887585347e-13,-2.4602542225702547e-13,-2.446931546274743e-13,-2.335909243812148e-13,-2.531308496146318e-13,-2.406963517388209e-13
3,0.00894795933848148,3.775253052803779e-07,1.961164655508393e-07,-2.4824586830627744e-13,-2.4735768988657666e-13,-2.531308496146318e-13,-2.4291679778807275e-13,-2.393640841092697e-13,-2.1715962361675135e-13,-2.4868995751612786e-13,-2.464695114668759e-13,-2.4025226252897046e-13,-2.52242671194931e-13,-2.393640841092697e-13
4,0.01712477868638962,0.00894795933798146,0.008947315093947942,0.008947933796891275,-2.4602542225702547e-13,-2.557953848737342e-13,-2.50022225145679e-13,-2.4380497620777354e-13,-2.207123372955542e-13,-2.4957813593582864e-13,-2.4424906541762395e-13,-2.4114044094867124e-13,-2.5490720645403343e-13,-2.398081733191201e-13
5,0.01838399022160323,0.01712477868636145,0.017124328513593044,0.017123754084696713,0.008947933796693397,0.0012622128756518255,0.0012622128756615964,0.0012622128756697953,0.0012622128756914113,0.001262212875658812,0.001262212875661341,0.001262212875672173,0.0012622128756578817,0.001262212875670822
6,0.018170035224208604,0.01817003522417951,0.018169630466370358,0.018169108887989407,0.017123754084702653,0.0102085507503249,0.001262525212416032,0.0012625252124240079,0.010049114146362611,0.010049114146010939,0.010049114146135277,0.010049114145967214,0.010049114145962311,0.010049114146175254
7,0.6489570134816081,0.6489570134825517,0.6489566448200497,0.648956152304065,0.018169108887997217,0.018169108887985133,0.010157032460568902,0.001264395911952203,0.010048418454270642,0.018223881626185892,0.018223881626189938,0.01822388162619745,0.018223881626186156,0.018223881626198136
8,1.148097221558158,1.148097221558192,1.1480969633767883,1.1480966483730595,0.647874088768525,0.647874088768427,0.6400889832725702,0.6316059467588611,0.009833255596865915,0.01797457778109904,0.017974577781113363,0.017974577781106206,0.017974577781096464,0.017974577781127283
9,1.6879195545870629,1.68791955458574,1.687919443838969,1.6879190981772605,1.2428094855797431,1.2428094855796168,1.2367198706640363,1.2288637901194743,0.6568854388608995,0.017425649344657623,0.017425649344674287,0.017425649344661617,0.017425649344651153,0.017425649344682995
10,1.5780017084776619,1.5780017084778242,1.5780016996999913,1.5780016696823411,1.5700076233979123,1.5700076233978248,1.5656709443210814,1.5608880103975538,1.0670826599114842,0.6559052001479887,0.6415913229417771,0.6415913229412392,0.6578321064149147,0.6578321064150652
11,1.6769982131775159,1.676998213177796,1.676998212396804,1.6769981958072142,1.6744469564741875,1.6744469564739708,1.674195845104471,1.6730870081370242,1.2262796783167316,0.9245522199145288,1.248148687795173,1.0483478414189629,1.2740979160735404,1.064423057760544
12,1.132104314182399,1.132104314182426,1.1321043141823999,1.1321043000618642,1.1301858408931376,1.130185840893046,1.130185738856653,1.1300077715005201,0.6964532317404878,0.6964532317403663,1.0970582811077347,1.2520184075119323,1.2686768782892712,1.0390912739686167
13,0.6310079062707967,0.6310079062693054,0.6310079062712357,0.6310079062716449,0.6310079062581715,0.6310079062580491,0.6310079062425649,0.6310068118957801,0.629279951060924,0.6292799510609002,0.6292799510608498,0.6071370634405637,0.6308512761644055,0.6270680650838287
