system,T Ferm,M Ferm,T BS,M BS,T BS + fiedler,M BS + fiedler
H4chain_eqm,1.7e+06,4.7e+04,9.7e+05,5.4e+04,1.1e+06,6.2e+04
H4chain_corr,1.7e+06,4.7e+04,1.2e+06,3.7e+04,6.7e+05,3.7e+04
H4chain_diss,1.7e+06,4.7e+04,4.8e+05,2.7e+04,5.4e+05,6.8e+04
H4rect_corr,3.0e+06,4.7e+04,6.3e+05,3.5e+04,6.3e+05,3.5e+04
H4rect_diss,1.7e+06,4.7e+04,3.9e+05,2.2e+04,1.7e+05,2.2e+04
LIH_eqm,9.0e+06,2.5e+05,4.6e+06,5.8e+05,5.6e+06,7.0e+05
LIH_corr,4.0e+06,2.5e+05,1.9e+06,2.4e+05,2.5e+07,1.4e+06
H2O_eqm,3.1e+07,3.1e+05,1.6e+08,3.3e+06,6.5e+08,5.0e+06
H2O_corr,3.1e+07,3.1e+05,6.5e+07,2.0e+06,5.3e+08,1.1e+07
H2O_diss,5.0e+06,3.1e+05,6.3e+06,7.9e+05,5.3e+06,2.6e+06
N2frozen_eqm,1.4e+09,8.8e+05,6.0e+09,1.2e+07,6.0e+09,1.5e+07
N2frozen_corr,3.2e+09,8.8e+05,1.2e+09,4.1e+06,1.6e+09,5.4e+06
N2frozen_diss,3.2e+09,8.8e+05,2.3e+09,8.2e+06,3.8e+08,2.9e+06
