system,fermionic,qubit,BS N Comm,BS N Comm + fiedler,HCT N Comm,HCT N Comm + fiedler,SEN N/2 Comm,SEN N/2 Comm + fiedler
H4chain_eqm,27,46,41,44,27,55,36,47
H4chain_corr,27,46,34,34,27,40,36,36
H4chain_diss,27,46,29,46,27,40,36,36
H4rect_corr,27,26,33,33,20,36,24,24
H4rect_diss,27,30,26,26,23,19,28,30
LIH_eqm,51,46,110,121,117,199,87,96
LIH_corr,51,46,71,170,57,113,87,79
H2O_eqm,53,92,242,300,249,322,157,226
H2O_corr,53,92,190,437,254,253,157,121
H2O_diss,53,62,119,217,148,168,157,121
N2frozen_eqm,83,103,427,489,328,338,205,167
N2frozen_corr,83,103,253,291,434,354,205,119
N2frozen_diss,83,103,357,214,438,171,205,262
