system,commuting_weight,commuting_weight_commuting_terms,commuting_weight_non_commuting_l1,summed_single_commuting_weight,summed_single_commuting_weight_commuting_terms,summed_single_commuting_weight_non_commuting_l1
H4chain_eqm,3,36,13.437821661663278,4,36,12.111791026690684
H4chain_corr,3,36,11.838097200113545,3,36,11.487936633476751
H4chain_diss,2,36,10.766639521488802,3,36,10.313167995467008
H4rect_corr,3,36,5.505619117539061,3,36,5.359767134454142
H4rect_diss,3,36,7.714156189009572,3,36,7.4514399551957995
LIH_eqm,3,78,9.961348511726888,3,78,9.568597107999326
LIH_corr,3,78,12.950633401636452,3,78,11.831600687814259
H2O_eqm,5,105,57.00538183408828,5,105,57.00538183408828
H2O_corr,4,105,53.61583227948154,4,105,51.40054007547056
H2O_diss,1,105,12.006016286519017,2,105,11.832410550272211
