qubit_i,qubit_j,mutual_information_bits
0,1,2.531659022989185e-07
0,2,1.02521216613187e-06
0,3,9.868292740414925e-07
0,4,5.921604786379708e-12
0,5,5.921775873482527e-12
0,6,1.720858155973559e-08
0,7,7.087177511522214e-09
0,8,1.76302540566553e-07
0,9,8.676481755287568e-11
0,10,5.692518278976877e-08
0,11,6.642572758508436e-08
0,12,5.991917173542305e-08
0,13,3.355516098313416e-08
1,2,9.868292722547273e-07
1,3,3.822678267678681e-10
1,4,5.925799781425489e-12
1,5,5.922931849838831e-12
1,6,7.087181286280497e-09
1,7,1.720858300302552e-08
1,8,8.676481755287568e-11
1,9,1.291914621726065e-06
1,10,6.64257293614412e-08
1,11,5.625051813229476e-08
1,12,3.355516320358021e-08
1,13,5.991916540715181e-08
2,3,0.001113788897538912
2,4,1.388875597863048e-08
2,5,1.388875653721144e-08
2,6,3.243070677605431e-05
2,7,1.374558531075376e-05
2,8,0.000988536714841115
2,9,2.138772847715131e-08
2,10,0.005890212232439906
2,11,0.0001043976692159942
2,12,4.950177994567095e-05
2,13,8.006499390589283e-06
3,4,1.38887558988332e-08
3,5,1.38887564973128e-08
3,6,1.374558530931047e-05
3,7,3.243070677882987e-05
3,8,2.138772903226283e-08
3,9,0.004012546098543179
3,10,0.0001043976692182147
3,11,0.003254575524715198
3,12,8.006499391810529e-06
3,13,4.950177995266536e-05
4,5,0.001820988280537752
4,6,2.379030729882103e-05
4,7,2.379030730037535e-05
4,8,1.307176352360884e-05
4,9,1.307176352371986e-05
4,10,3.013473346746842e-05
4,11,3.013473346591411e-05
4,12,4.102266072780747e-05
4,13,4.102266072780747e-05
5,6,2.379030730070841e-05
5,7,2.379030730104148e-05
5,8,1.307176352449702e-05
5,9,1.30717635239419e-05
5,10,3.013473346480389e-05
5,11,3.013473346602513e-05
5,12,4.102266073069405e-05
5,13,4.102266072680827e-05
6,7,0.1872800724914185
6,8,0.004030508161703361
6,9,0.07272139778454711
6,10,0.04448512921508829
6,11,0.0005577441453381571
6,12,0.330354320268532
6,13,0.5058848228722443
7,8,0.07272139778437681
7,9,0.004030508161672719
7,10,0.0005577441453443743
7,11,0.04448512921500569
7,12,0.5058848228720509
7,13,0.3303543202711285
8,9,0.2055874685298296
8,10,0.3460978665509873
8,11,0.5295416978127248
8,12,0.04452223644075826
8,13,0.0005539305384534288
9,10,0.5295416978128851
9,11,0.3461316288691025
9,12,0.000553930538449432
9,13,0.04452223644083109
10,11,0.2057984196297646
10,12,0.004035096563314244
10,13,0.07271145329315654
11,12,0.07271145329312878
11,13,0.004035096563288931
12,13,0.1874226744373548
