q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
0.000000000000000000e+00,2.531659022989185033e-07,1.025212166131869718e-06,9.868292740414924546e-07,5.921604786379708329e-12,5.921775873482526542e-12,1.720858155973559178e-08,7.087177511522213535e-09,1.763025405665530343e-07,8.676481755287568376e-11,5.692518278976876900e-08,6.642572758508435982e-08,5.991917173542304909e-08,3.355516098313415796e-08
2.531659022989185033e-07,0.000000000000000000e+00,9.868292722547272744e-07,3.822678267678680797e-10,5.925799781425489243e-12,5.922931849838830587e-12,7.087181286280497261e-09,1.720858300302552379e-08,8.676481755287568376e-11,1.291914621726064638e-06,6.642572936144119922e-08,5.625051813229475783e-08,3.355516320358020721e-08,5.991916540715180872e-08
1.025212166131869718e-06,9.868292722547272744e-07,0.000000000000000000e+00,1.113788897538912220e-03,1.388875597863048483e-08,1.388875653721144410e-08,3.243070677605430774e-05,1.374558531075376067e-05,9.885367148411150495e-04,2.138772847715131320e-08,5.890212232439906437e-03,1.043976692159942488e-04,4.950177994567095396e-05,8.006499390589283394e-06
9.868292740414924546e-07,3.822678267678680797e-10,1.113788897538912220e-03,0.000000000000000000e+00,1.388875589883320494e-08,1.388875649731280415e-08,1.374558530931047073e-05,3.243070677882986530e-05,2.138772903226282551e-08,4.012546098543179340e-03,1.043976692182146948e-04,3.254575524715197510e-03,8.006499391810528721e-06,4.950177995266535902e-05
5.921604786379708329e-12,5.925799781425489243e-12,1.388875597863048483e-08,1.388875589883320494e-08,0.000000000000000000e+00,1.820988280537752264e-03,2.379030729882103401e-05,2.379030730037534624e-05,1.307176352360883698e-05,1.307176352371985928e-05,3.013473346746842196e-05,3.013473346591410973e-05,4.102266072780746953e-05,4.102266072780746953e-05
5.921775873482526542e-12,5.922931849838830587e-12,1.388875653721144410e-08,1.388875649731280415e-08,1.820988280537752264e-03,0.000000000000000000e+00,2.379030730070841315e-05,2.379030730104148006e-05,1.307176352449701540e-05,1.307176352394190388e-05,3.013473346480388670e-05,3.013473346602513203e-05,4.102266073069404939e-05,4.102266072680826881e-05
1.720858155973559178e-08,7.087181286280497261e-09,3.243070677605430774e-05,1.374558530931047073e-05,2.379030729882103401e-05,2.379030730070841315e-05,0.000000000000000000e+00,1.872800724914185366e-01,4.030508161703361125e-03,7.272139778454711490e-02,4.448512921508829265e-02,5.577441453381570824e-04,3.303543202685319535e-01,5.058848228722443441e-01
7.087177511522213535e-09,1.720858300302552379e-08,1.374558531075376067e-05,3.243070677882986530e-05,2.379030730037534624e-05,2.379030730104148006e-05,1.872800724914185366e-01,0.000000000000000000e+00,7.272139778437680668e-02,4.030508161672718970e-03,5.577441453443743313e-04,4.448512921500569206e-02,5.058848228720509432e-01,3.303543202711285431e-01
1.763025405665530343e-07,8.676481755287568376e-11,9.885367148411150495e-04,2.138772903226282551e-08,1.307176352360883698e-05,1.307176352449701540e-05,4.030508161703361125e-03,7.272139778437680668e-02,0.000000000000000000e+00,2.055874685298295645e-01,3.460978665509872876e-01,5.295416978127247543e-01,4.452223644075825604e-02,5.539305384534287668e-04
8.676481755287568376e-11,1.291914621726064638e-06,2.138772847715131320e-08,4.012546098543179340e-03,1.307176352371985928e-05,1.307176352394190388e-05,7.272139778454711490e-02,4.030508161672718970e-03,2.055874685298295645e-01,0.000000000000000000e+00,5.295416978128850705e-01,3.461316288691025367e-01,5.539305384494319640e-04,4.452223644083108667e-02
5.692518278976876900e-08,6.642572936144119922e-08,5.890212232439906437e-03,1.043976692182146948e-04,3.013473346746842196e-05,3.013473346480388670e-05,4.448512921508829265e-02,5.577441453443743313e-04,3.460978665509872876e-01,5.295416978128850705e-01,0.000000000000000000e+00,2.057984196297646395e-01,4.035096563314244378e-03,7.271145329315653605e-02
6.642572758508435982e-08,5.625051813229475783e-08,1.043976692159942488e-04,3.254575524715197510e-03,3.013473346591410973e-05,3.013473346602513203e-05,5.577441453381570824e-04,4.448512921500569206e-02,5.295416978127247543e-01,3.461316288691025367e-01,2.057984196297646395e-01,0.000000000000000000e+00,7.271145329312878047e-02,4.035096563288931293e-03
5.991917173542304909e-08,3.355516320358020721e-08,4.950177994567095396e-05,8.006499391810528721e-06,4.102266072780746953e-05,4.102266073069404939e-05,3.303543202685319535e-01,5.058848228720509432e-01,4.452223644075825604e-02,5.539305384494319640e-04,4.035096563314244378e-03,7.271145329312878047e-02,0.000000000000000000e+00,1.874226744373548303e-01
3.355516098313415796e-08,5.991916540715180872e-08,8.006499390589283394e-06,4.950177995266535902e-05,4.102266072780746953e-05,4.102266072680826881e-05,5.058848228722443441e-01,3.303543202711285431e-01,5.539305384534287668e-04,4.452223644083108667e-02,7.271145329315653605e-02,4.035096563288931293e-03,1.874226744373548303e-01,0.000000000000000000e+00
