system,T Ferm,M Ferm,T BS,M BS,T BS + Fiedler,M BS + Fiedler
H4chain_eqm,1679616,46656,1327104,73728,1679616,93312
H4chain_corr,1679616,46656,1721344,53792,1806336,56448
H4chain_diss,1679616,46656,553536,30752,518400,28800
H4rect_corr,2985984,46656,278784,34848,186624,23328
H4rect_diss,1679616,46656,419904,23328,419904,23328
LIH_eqm,8989056,249696,5809536,726192,14751744,1843968
LIH_corr,3995136,249696,5809536,322752,21026304,1168128
H2O_eqm,31460800,314608,360464832,5006456,163979200,3279584
H2O_corr,31460800,314608,134536192,4204256,224566272,7017696
H2O_diss,5033728,314608,6451200,3225600,6777792,3388896
N2frozen_eqm,1410867200,881792,6423431168,16386304,1576972800,7884864
N2frozen_corr,3174451200,881792,1404076032,4875264,3503849472,12166144
N2frozen_diss,3174451200,881792,4425523200,15366400,2998476800,23425600
